geoid,name,year,est_total_population,population_density,percentage_race_white,percentage_race_black_african_american,percentage_race_american_indian_alaska_native,percentage_race_asian,percentage_race_native_hawaiian_pacific_islander,percentage_race_other_race,percentage_race_two_plus_races,percentage_race_two_plus_races_includes_other_race,percentage_race_two_plus_races_excludes_other_race,registered_voters_total,partisan_lean_left,partisan_lean_right,polling_locations_total,registered_voters_per_polling_location,polling_locations_removed_since_last_general,polling_locations_added_since_last_general,est_total_housing_units,est_total_occupied_housing_units,est_total_vacant_housing_units,est_occupied_housing_units_with_vehicle_available,est_occupied_housing_units_no_vehicle_available
0500000US29085,"Hickory County, Missouri",2016,9267,,0.967,0.002,0.009,0.002,0,0.002,0.017,0,0.017,,,,,,0,,,,,,
0500000US29087,"Holt County, Missouri",2016,4537,,0.967,0.004,0.009,0.007,0,0,0.013,0,0.013,,,,,,0,,,,,,
0500000US29089,"Howard County, Missouri",2016,10148,,0.919,0.052,0.005,0.002,0.001,0.002,0.017,0,0.017,,,,,,0,,,,,,
0500000US29091,"Howell County, Missouri",2016,40265,,0.958,0.003,0.005,0.006,0,0.007,0.022,0.001,0.021,,,,,,0,,,,,,
0500000US29093,"Iron County, Missouri",2016,10220,,0.958,0.019,0.007,0.001,0.001,0.001,0.013,0.001,0.012,,,,,,0,,,,,,
0500000US29095,"Jackson County, Missouri",2016,683643,,0.666,0.237,0.005,0.017,0.002,0.042,0.03,0.004,0.026,,,,,,0,,,,,,
0500000US29097,"Jasper County, Missouri",2016,117376,,0.909,0.022,0.013,0.011,0.002,0.012,0.03,0.002,0.027,,,,,,0,,,,,,
0500000US29099,"Jefferson County, Missouri",2016,222453,,0.962,0.01,0.002,0.007,0,0.003,0.015,0.002,0.014,,,,,,0,,,,,,
0500000US29101,"Johnson County, Missouri",2016,54229,,0.894,0.044,0.007,0.015,0.003,0.004,0.033,0.002,0.031,,,,,,0,,,,,,
0500000US29103,"Knox County, Missouri",2016,3997,,0.965,0.004,0,0.002,0.007,0.004,0.019,0.002,0.017,,,,,,0,,,,,,
0500000US29105,"Laclede County, Missouri",2016,35505,,0.957,0.005,0.008,0.004,0,0.002,0.024,0.001,0.024,,,,,,0,,,,,,
0500000US29107,"Lafayette County, Missouri",2016,32789,,0.943,0.02,0.003,0.005,0.001,0.004,0.026,0.001,0.025,,,,,,0,,,,,,
0500000US29109,"Lawrence County, Missouri",2016,38204,,0.948,0.005,0.005,0.005,0,0.02,0.016,0,0.016,,,,,,0,,,,,,
0500000US29111,"Lewis County, Missouri",2016,10146,,0.942,0.029,0.006,0.002,0.001,0.002,0.017,0,0.017,,,,,,0,,,,,,
0500000US29113,"Lincoln County, Missouri",2016,54286,,0.949,0.018,0.003,0.005,0.001,0.007,0.017,0.001,0.017,,,,,,0,,,,,,
0500000US29115,"Linn County, Missouri",2016,12319,,0.959,0.004,0.002,0.002,0,0.009,0.023,0.005,0.018,,,,,,0,,,,,,
0500000US29117,"Livingston County, Missouri",2016,15057,,0.943,0.028,0.006,0.005,0.002,0.004,0.013,0.001,0.011,,,,,,0,,,,,,
0500000US29119,"McDonald County, Missouri",2016,22720,,0.889,0.019,0.027,0.014,0.014,0.008,0.031,0.002,0.029,,,,,,0,,,,,,
0500000US29121,"Macon County, Missouri",2016,15399,,0.946,0.023,0.003,0.004,0,0.003,0.021,0.003,0.018,,,,,,0,,,,,,
0500000US29123,"Madison County, Missouri",2016,12403,,0.955,0.014,0.005,0.006,0,0,0.02,0,0.02,,,,,,0,,,,,,
0500000US29125,"Maries County, Missouri",2016,8987,,0.98,0.005,0.01,0.002,0,0,0.004,0,0.004,,,,,,0,,,,,,
0500000US29127,"Marion County, Missouri",2016,28858,,0.91,0.051,0.004,0.009,0,0.001,0.024,0,0.024,,,,,,0,,,,,,
0500000US29129,"Mercer County, Missouri",2016,3702,,0.971,0.005,0,0.005,0.001,0.004,0.014,0,0.014,,,,,,0,,,,,,
0500000US29131,"Miller County, Missouri",2016,25011,,0.963,0.005,0.013,0.004,0,0.007,0.008,0,0.008,,,,,,0,,,,,,
0500000US29133,"Mississippi County, Missouri",2016,14112,,0.734,0.237,0.008,0,0,0.001,0.02,0.004,0.016,,,,,,0,,,,,,
0500000US29135,"Moniteau County, Missouri",2016,15840,,0.929,0.034,0.003,0.001,0,0.011,0.022,0.001,0.021,,,,,,0,,,,,,
0500000US29137,"Monroe County, Missouri",2016,8642,,0.949,0.029,0.008,0.002,0.003,0,0.009,0,0.009,,,,,,0,,,,,,
0500000US29139,"Montgomery County, Missouri",2016,11820,,0.959,0.015,0,0.003,0.001,0.002,0.02,0,0.02,,,,,,0,,,,,,
0500000US29141,"Morgan County, Missouri",2016,20182,,0.963,0.009,0.003,0.001,0,0.003,0.021,0.001,0.02,,,,,,0,,,,,,
0500000US29143,"New Madrid County, Missouri",2016,18229,,0.813,0.159,0.002,0.001,0,0.002,0.022,0.002,0.02,,,,,,0,,,,,,
0500000US29145,"Newton County, Missouri",2016,58741,,0.909,0.009,0.022,0.012,0.009,0.005,0.033,0.002,0.032,,,,,,0,,,,,,
0500000US29147,"Nodaway County, Missouri",2016,23026,,0.941,0.027,0.003,0.013,0.004,0.001,0.011,0.002,0.009,,,,,,0,,,,,,
0500000US29149,"Oregon County, Missouri",2016,10922,,0.957,0.002,0.013,0.005,0,0.004,0.02,0,0.02,,,,,,0,,,,,,
0500000US29151,"Osage County, Missouri",2016,13704,,0.982,0.008,0.003,0.001,0,0.003,0.004,0.002,0.002,,,,,,0,,,,,,
0500000US29153,"Ozark County, Missouri",2016,9450,,0.964,0.001,0.001,0,0,0.005,0.03,0,0.03,,,,,,0,,,,,,
0500000US29155,"Pemiscot County, Missouri",2016,17599,,0.701,0.27,0.003,0,0,0.009,0.017,0.001,0.016,,,,,,0,,,,,,
0500000US29157,"Perry County, Missouri",2016,19152,,0.975,0.005,0.004,0.006,0,0.001,0.008,0,0.008,,,,,,0,,,,,,
0500000US29159,"Pettis County, Missouri",2016,42193,,0.909,0.03,0.001,0.004,0.001,0.024,0.031,0.005,0.026,,,,,,0,,,,,,
0500000US29161,"Phelps County, Missouri",2016,44833,,0.908,0.027,0.009,0.035,0,0.001,0.019,0,0.019,,,,,,0,,,,,,
