geoid,cntyfp,tractfp,name,year,total_population,population_density,polling_locations_total,percentage_race_black_african_american
1400000US13009970301,13009,13009970301,"Census Tract 9703.01, Baldwin County, Georgia",2020,2276,241,1,0.281
1400000US13009970302,13009,13009970302,"Census Tract 9703.02, Baldwin County, Georgia",2020,3488,298,1,0.401
1400000US13009970400,13009,13009970400,"Census Tract 9704, Baldwin County, Georgia",2012,5153,2041,0,0.314
1400000US13009970400,13009,13009970400,"Census Tract 9704, Baldwin County, Georgia",2014,4924,1951,0,0.405
1400000US13009970400,13009,13009970400,"Census Tract 9704, Baldwin County, Georgia",2016,4929,1953,3,0.419
1400000US13009970400,13009,13009970400,"Census Tract 9704, Baldwin County, Georgia",2018,4482,1770,3,0.472
1400000US13009970400,13009,13009970400,"Census Tract 9704, Baldwin County, Georgia",2020,4394,1743,3,0.518
1400000US13009970500,13009,13009970500,"Census Tract 9705, Baldwin County, Georgia",2012,5402,99,0,0.333
1400000US13009970500,13009,13009970500,"Census Tract 9705, Baldwin County, Georgia",2014,5993,110,0,0.325
1400000US13009970500,13009,13009970500,"Census Tract 9705, Baldwin County, Georgia",2016,6409,118,2,0.333
1400000US13009970500,13009,13009970500,"Census Tract 9705, Baldwin County, Georgia",2018,6385,118,2,0.281
1400000US13009970501,13009,13009970501,"Census Tract 9705.01, Baldwin County, Georgia",2020,4008,1699,0,0.272
1400000US13009970502,13009,13009970502,"Census Tract 9705.02, Baldwin County, Georgia",2020,2988,58,2,0.452
1400000US13009970600,13009,13009970600,"Census Tract 9706, Baldwin County, Georgia",2012,4266,765,0,0.678
1400000US13009970600,13009,13009970600,"Census Tract 9706, Baldwin County, Georgia",2014,3946,708,0,0.589
1400000US13009970600,13009,13009970600,"Census Tract 9706, Baldwin County, Georgia",2016,3589,644,1,0.627
1400000US13009970600,13009,13009970600,"Census Tract 9706, Baldwin County, Georgia",2018,3662,657,1,0.621
1400000US13009970600,13009,13009970600,"Census Tract 9706, Baldwin County, Georgia",2020,3226,579,1,0.581
1400000US13009970701,13009,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2012,2972,1650,0,0.727
1400000US13009970701,13009,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2014,2902,1611,0,0.695
1400000US13009970701,13009,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2016,2837,1575,2,0.584
1400000US13009970701,13009,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2018,2515,1397,2,0.529
1400000US13009970701,13009,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2020,1969,1093,2,0.532
1400000US13009970702,13009,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2012,3512,1236,0,0.558
1400000US13009970702,13009,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2014,2504,881,0,0.55
1400000US13009970702,13009,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2016,2398,844,0,0.57
1400000US13009970702,13009,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2018,2341,824,0,0.601
1400000US13009970702,13009,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2020,2315,815,0,0.672
1400000US13009970800,13009,13009970800,"Census Tract 9708, Baldwin County, Georgia",2012,6934,91,0,0.344
1400000US13009970800,13009,13009970800,"Census Tract 9708, Baldwin County, Georgia",2014,7325,96,0,0.353
1400000US13009970800,13009,13009970800,"Census Tract 9708, Baldwin County, Georgia",2016,7768,102,2,0.396
1400000US13009970800,13009,13009970800,"Census Tract 9708, Baldwin County, Georgia",2018,7117,93,2,0.414
1400000US13009970801,13009,13009970801,"Census Tract 9708.01, Baldwin County, Georgia",2020,3325,79,1,0.266
1400000US13009970802,13009,13009970802,"Census Tract 9708.02, Baldwin County, Georgia",2020,4696,137,1,0.457
1400000US13011970100,13011,13011970100,"Census Tract 9701, Banks County, Georgia",2012,5235,82,0,0
1400000US13011970100,13011,13011970100,"Census Tract 9701, Banks County, Georgia",2014,5211,82,0,0.009
1400000US13011970100,13011,13011970100,"Census Tract 9701, Banks County, Georgia",2016,5271,83,4,0.008
1400000US13011970100,13011,13011970100,"Census Tract 9701, Banks County, Georgia",2018,5453,86,4,0.008
