localityid,geoid,name,x,y,stfp,cntyfp,tractfp
03e5dcac-b539-49e8-85bf-121173ab33b5,1400000US13121011443,"Census Tract 114.43, Fulton County, Georgia",-84.224,34.014,13,121,13121011443
03ee0163-4182-4a22-968f-f76cd6284c8c,1400000US13051002800,"Census Tract 28, Chatham County, Georgia",-81.104,32.050,13,051,13051002800
0419e0a6-5c66-48e6-947d-b912a8080d0b,1400000US13135050213,"Census Tract 502.13, Gwinnett County, Georgia",-84.036,34.041,13,135,13135050213
0419e0a6-5c66-48e6-947d-b912a8080d0b,1400000US13135050241,"Census Tract 502.41, Gwinnett County, Georgia",-84.036,34.041,13,135,13135050241
042cd512-a3e9-481f-a949-1fdf39114c4b,1400000US13139001302,"Census Tract 13.02, Hall County, Georgia",-83.838,34.175,13,139,13139001302
0430cd9d-a72f-4270-855a-de13304d3526,1400000US13255161200,"Census Tract 1612, Spalding County, Georgia",-84.252,33.216,13,255,13255161200
0430cd9d-a72f-4270-855a-de13304d3526,1400000US13255161202,"Census Tract 1612.02, Spalding County, Georgia",-84.252,33.216,13,255,13255161202
046e1a5c-8bac-4fe8-b36d-38be1a1ccb0f,1400000US13013180302,"Census Tract 1803.02, Barrow County, Georgia",-83.702,33.998,13,013,13013180302
048ddc12-e7f2-4f49-bfc4-9ded256c71f0,1400000US13213010100,"Census Tract 101, Murray County, Georgia",-84.755,34.958,13,213,13213010100
04941b41-6b49-4dad-a7bd-bb528d45f74d,1400000US13135050730,"Census Tract 507.30, Gwinnett County, Georgia",-83.968,33.862,13,135,13135050730
04941b41-6b49-4dad-a7bd-bb528d45f74d,1400000US13135050752,"Census Tract 507.52, Gwinnett County, Georgia",-83.968,33.862,13,135,13135050752
0494abfc-aa76-4efd-b4ea-c08d771a827e,1400000US13191110300,"Census Tract 1103, McIntosh County, Georgia",-81.430,31.393,13,191,13191110300
04b0af67-0eef-4193-8f11-44a1b120360a,1400000US13135050609,"Census Tract 506.09, Gwinnett County, Georgia",-83.900,34.072,13,135,13135050609
