stfp,geoid,cntyfp,baseyear,lastgeyear,changeyear,changenopolls,nopollsadded,nopollsremoved,baseyearpctcvapblack,baseyearpctblack,baseyearpcthispanic,baseyearpctcvapwhite,baseyearpctwhite,baseyearpopdensity,baseyearpollinglocstotal,baseyeartotalpop,baseyearcvap,baseyearpopperpoll,baseyearcvapperpoll,lastgeyearpollinglocstotal,lastgeyeartotalpop,lastgeyearcvap,lastgeyearpopperpoll,lastgeyearcvapperpoll,changeyearpopperpoll,changeyearcvapperpoll
55,55013,55013,2020,2018,2018 - 2020,2,1,1,0.006,0.006,0.020,0.905,0.917,18.702,23,15365,12605,668,548,23,15260,12475,663,542,5,6
55,55015,55015,2020,2018,2018 - 2020,4,2,2,0.009,0.009,0.044,0.908,0.934,157.125,16,50005,37685,3125,2355,16,49805,37225,3112,2326,13,29
55,55015,55015,2022,2020,2020 - 2022,1,0,1,0.010,0.009,0.047,0.903,0.923,164.525,15,52360,39570,3490,2638,16,50005,37685,3125,2355,365,283
55,55043,55043,2016,2014,2014 - 2016,15,7,8,0.014,0.014,0.014,0.956,0.966,45.101,48,51725,40780,1077,849,49,51270,40265,1046,821,31,28
55,55043,55043,2014,2012,2012 - 2014,2,1,1,0.013,0.013,0.013,0.959,0.968,44.704,49,51270,40265,1046,821,49,51055,39930,1041,814,5,7
55,55041,55041,2022,2020,2020 - 2022,0,0,0,0.003,0.005,0.025,0.797,0.789,9.110,14,9240,7430,660,530,14,9005,7180,643,512,17,18
55,55041,55041,2020,2018,2018 - 2020,0,0,0,0.010,0.01,0.027,0.790,0.788,8.879,14,9005,7180,643,512,14,9020,7165,644,511,-1,1
55,55041,55041,2018,2016,2016 - 2018,0,0,0,0.008,0.008,0.023,0.794,0.806,8.893,14,9020,7165,644,511,14,9110,7200,650,514,-6,-3
55,55041,55041,2016,2014,2014 - 2016,0,0,0,0.013,0.013,0.020,0.803,0.814,8.982,14,9110,7200,650,514,14,9200,7235,657,516,-7,-2
55,55003,55003,2016,2014,2014 - 2016,2,1,1,0.005,0.005,0.024,0.829,0.849,15.248,18,15935,12265,885,681,18,16065,12330,892,685,-7,-4
