pollid,pollname,x,y,changeyear,baseyear,changestatus,state
6e6e67ec-bcef-452d-a76e-aa3e15334cd6,PLEASANT GROVE,-88.923,31.709,2018 - 2022,2022,no_change,MS
6eabd170-8785-4661-a49a-3fc535897c77,COMMUNITY HOUSE,-89.433,33.232,2012 - 2014,2014,no_change,MS
6eabd170-8785-4661-a49a-3fc535897c77,COMMUNITY HOUSE,-89.433,33.232,2014 - 2016,2016,no_change,MS
6eabd170-8785-4661-a49a-3fc535897c77,COMMUNITY HOUSE,-89.433,33.232,2016 - 2018,2018,no_change,MS
6eabd170-8785-4661-a49a-3fc535897c77,COMMUNITY HOUSE,-89.433,33.232,2018 - 2022,2022,removed,MS
6f362a73-206b-4bf0-8cd4-aa80f6e6754a,PINE FOREST BAPTIST CHURCH,-88.822,32.53,2012 - 2014,2014,removed,MS
6f4a7fd8-b95d-474c-a5a4-4fbe230fdf74,VIRGINIA COLLEGE,-90.143,32.387,2012 - 2014,2014,added,MS
6f4a7fd8-b95d-474c-a5a4-4fbe230fdf74,VIRGINIA COLLEGE,-90.143,32.387,2014 - 2016,2016,no_change,MS
6f4a7fd8-b95d-474c-a5a4-4fbe230fdf74,VIRGINIA COLLEGE,-90.143,32.387,2016 - 2018,2018,no_change,MS
6f4a7fd8-b95d-474c-a5a4-4fbe230fdf74,VIRGINIA COLLEGE,-90.143,32.387,2018 - 2022,2022,removed,MS
6f61ec72-5e3d-487c-8d7d-da7d098c7f26,ARNOLD LINE WATER ASSN,-89.367,31.336,2014 - 2016,2016,added,MS
6f61ec72-5e3d-487c-8d7d-da7d098c7f26,ARNOLD LINE WATER ASSN,-89.367,31.336,2016 - 2018,2018,no_change,MS
6f61ec72-5e3d-487c-8d7d-da7d098c7f26,ARNOLD LINE WATER ASSN,-89.367,31.336,2018 - 2022,2022,removed,MS
6f644e2e-46e5-4f9a-9f0e-82bb46386799,EATONVILLE,-89.329,31.412,2012 - 2014,2014,no_change,MS
6f644e2e-46e5-4f9a-9f0e-82bb46386799,EATONVILLE,-89.329,31.412,2014 - 2016,2016,removed,MS
6f644e2e-46e5-4f9a-9f0e-82bb46386799,EATONVILLE,-89.329,31.412,2016 - 2018,2018,added,MS
6f644e2e-46e5-4f9a-9f0e-82bb46386799,EATONVILLE,-89.329,31.412,2018 - 2022,2022,removed,MS
6f826f95-7cd9-4497-b6dd-47adc0ba01f4,SPRINGHILL /MAULDIN COMMUNITY CENTER,-89.244,31.729,2018 - 2022,2022,added,MS
6fb115e8-abd9-4cd9-93ea-76b65f80dfd9,CITY HALL,-90.445,31.58,2016 - 2018,2018,added,MS
6fb115e8-abd9-4cd9-93ea-76b65f80dfd9,LINCOLN COUNTY PUBLIC LIBRARY,-90.445,31.58,2018 - 2022,2022,no_change,MS
6fe2d271-d5bb-4be2-a895-a29b850d2461,SKYWAY HILLS CHURCH OF CHRIST,-90.087,32.284,2012 - 2014,2014,removed,MS
6ff93ded-0df7-48d1-96ba-bf2a7a1a649d,MAGEE NATIONAL GUARD ARMORY,-89.717,31.856,2018 - 2022,2022,added,MS
701762fa-6ac8-4930-96b6-0c53ec3abfd6,GRACE UMC,-88.687,31.006,2016 - 2018,2018,added,MS
701762fa-6ac8-4930-96b6-0c53ec3abfd6,GRACE UMC,-88.687,31.006,2018 - 2022,2022,no_change,MS
704f4a83-977d-48dd-ba0a-d65331fc5258,OLD CHERRY CREEK SCHOOL,-88.986,34.35,2018 - 2022,2022,no_change,MS
704f4a83-977d-48dd-ba0a-d65331fc5258,PRECINCT CC,-88.986,34.35,2012 - 2014,2014,no_change,MS
704f4a83-977d-48dd-ba0a-d65331fc5258,PRECINCT CC,-88.986,34.35,2014 - 2016,2016,removed,MS
704f4a83-977d-48dd-ba0a-d65331fc5258,PRECINCT CC,-88.986,34.35,2016 - 2018,2018,added,MS
705514dd-8e01-496d-83d9-df8762eb6de4,FIRST PRESBYTERIAN CHURCH OF MADISON,-90.107,32.459,2012 - 2014,2014,no_change,MS
705514dd-8e01-496d-83d9-df8762eb6de4,FIRST PRESBYTERIAN CHURCH OF MADISON,-90.107,32.459,2014 - 2016,2016,no_change,MS
705514dd-8e01-496d-83d9-df8762eb6de4,FIRST PRESBYTERIAN CHURCH OF MADISON,-90.107,32.459,2016 - 2018,2018,no_change,MS
705514dd-8e01-496d-83d9-df8762eb6de4,FIRST PRESBYTERIAN CHURCH OF MADISON,-90.107,32.459,2018 - 2022,2022,removed,MS
708e2b83-eb25-47f3-9880-9d72caca1d94,CHAPMAN TCDC BUILDING,-88.951,34.73,2012 - 2014,2014,no_change,MS
708e2b83-eb25-47f3-9880-9d72caca1d94,CHAPMAN TCDC BUILDING,-88.951,34.73,2014 - 2016,2016,no_change,MS
708e2b83-eb25-47f3-9880-9d72caca1d94,CHAPMAN TCDC BUILDING,-88.951,34.73,2016 - 2018,2018,no_change,MS
708e2b83-eb25-47f3-9880-9d72caca1d94,CHAPMAN TCDC BUILDING,-88.951,34.73,2018 - 2022,2022,removed,MS
70ade062-2884-493c-910f-04534c47dc4c,POWELL MIDDLE SCHOOL,-90.203,32.353,2012 - 2014,2014,no_change,MS
70ade062-2884-493c-910f-04534c47dc4c,POWELL MIDDLE SCHOOL,-90.203,32.353,2014 - 2016,2016,no_change,MS
