pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E610000023DBF97E6A9C56C0C1CAA145B6933F40,CITY HALL,31.577,-90.444,MS,2014,2012 - 2014,0101000020E610000023DBF97E6A9C56C0C1CAA145B6933F40,added
0101000020E61000008716D9CEF79B56C04E62105839943F40,HIGH SCHOOL,31.579,-90.437,MS,2014,2012 - 2014,0101000020E61000008716D9CEF79B56C04E62105839943F40,added
0101000020E6100000A245B6F3FD9456C014AE47E17A943F40,BIG SPRINGS,31.580,-90.328,MS,2014,2012 - 2014,0101000020E6100000A245B6F3FD9456C014AE47E17A943F40,added
0101000020E6100000FED478E9267956C04A0C022B87963F40,EZRA GARNER BLDG.,31.588,-89.893,MS,2014,2012 - 2014,0101000020E6100000FED478E9267956C04A0C022B87963F40,added
0101000020E610000085EB51B81E9D56C0105839B4C8963F40,LIPSEY,31.589,-90.455,MS,2014,2012 - 2014,0101000020E610000085EB51B81E9D56C0105839B4C8963F40,added
0101000020E6100000931804560E4D56C046B6F3FDD4983F40,FIRST ASSEMBLY OF GOD,31.597,-89.204,MS,2014,2012 - 2014,0101000020E6100000931804560E4D56C046B6F3FDD4983F40,added
0101000020E61000008FC2F5285C7756C00C022B8716993F40,GRANBY FIRE STATION,31.598,-89.865,MS,2014,2012 - 2014,0101000020E61000008FC2F5285C7756C00C022B8716993F40,added
0101000020E6100000A4703D0AD79B56C060E5D022DB993F40,ROGERS CIRCLE,31.601,-90.435,MS,2014,2012 - 2014,0101000020E6100000A4703D0AD79B56C060E5D022DB993F40,added
0101000020E610000023DBF97E6A4C56C0EE7C3F355E9A3F40,GEORGE HARRISON BUILDING,31.603,-89.194,MS,2014,2012 - 2014,0101000020E610000023DBF97E6A4C56C0EE7C3F355E9A3F40,added
0101000020E610000000000000009856C0B4C876BE9F9A3F40,HEUCKS RETREAT VOL FIRE DEPT.,31.604,-90.375,MS,2014,2012 - 2014,0101000020E610000000000000009856C0B4C876BE9F9A3F40,added
0101000020E610000004560E2DB27556C05C8FC2F5289C3F40,GRANBY ROAD,31.610,-89.839,MS,2014,2012 - 2014,0101000020E610000004560E2DB27556C05C8FC2F5289C3F40,added
0101000020E6100000CFF753E3A5A356C054E3A59BC4A03F40,LOYD STAR,31.628,-90.557,MS,2014,2012 - 2014,0101000020E6100000CFF753E3A5A356C054E3A59BC4A03F40,added
0101000020E6100000DD240681956356C0355EBA490CA23F40,CIVIC CENTER,31.633,-89.556,MS,2014,2012 - 2014,0101000020E6100000DD240681956356C0355EBA490CA23F40,added
0101000020E6100000CBA145B6F39D56C0894160E5D0A23F40,NEW SIGHT VOL FIRE DEPARTMENT,31.636,-90.468,MS,2014,2012 - 2014,0101000020E6100000CBA145B6F39D56C0894160E5D0A23F40,added
0101000020E6100000B4C876BE9F7256C0BE9F1A2FDDA43F40,MT CARMEL BAP CHURCH,31.644,-89.791,MS,2014,2012 - 2014,0101000020E6100000B4C876BE9F7256C0BE9F1A2FDDA43F40,added
0101000020E6100000FED478E9262956C0A01A2FDD24A63F40,WAYNESBORO CITY 5 M-Z,31.649,-88.643,MS,2014,2012 - 2014,0101000020E6100000FED478E9262956C0A01A2FDD24A63F40,added
0101000020E61000000E2DB29DEF9F56C048E17A14AEA73F40,VOTING HOUSE,31.655,-90.499,MS,2014,2012 - 2014,0101000020E61000000E2DB29DEF9F56C048E17A14AEA73F40,added
0101000020E6100000295C8FC2F59856C09CC420B072A83F40,MONTGOMERY,31.658,-90.390,MS,2014,2012 - 2014,0101000020E6100000295C8FC2F59856C09CC420B072A83F40,added
0101000020E610000025068195437B56C0B6F3FDD478A93F40,DOUBLE PONDS,31.662,-89.926,MS,2014,2012 - 2014,0101000020E610000025068195437B56C0B6F3FDD478A93F40,added
0101000020E610000037894160E54856C0EC51B81E85AB3F40,OAK PARK SCHOOL,31.670,-89.139,MS,2014,2012 - 2014,0101000020E610000037894160E54856C0EC51B81E85AB3F40,added
0101000020E610000062105839B42856C03F355EBA49AC3F40,WAYNESBORO CITY 2 A-L,31.673,-88.636,MS,2014,2012 - 2014,0101000020E610000062105839B42856C03F355EBA49AC3F40,added
0101000020E6100000D34D6210582956C0CDCCCCCCCCAC3F40,HIWANNEE,31.675,-88.646,MS,2014,2012 - 2014,0101000020E6100000D34D6210582956C0CDCCCCCCCCAC3F40,added
0101000020E61000009A99999999A956C0E7FBA9F1D2AD3F40,VOTING HOUSE,31.679,-90.650,MS,2014,2012 - 2014,0101000020E61000009A99999999A956C0E7FBA9F1D2AD3F40,added
0101000020E61000005EBA490C029356C0E3A59BC420B03F40,LITTLE BAHALA,31.688,-90.297,MS,2014,2012 - 2014,0101000020E61000005EBA490C029356C0E3A59BC420B03F40,added
0101000020E61000008B6CE7FBA99956C0713D0AD7A3B03F40,PEARLHAVEN,31.690,-90.401,MS,2014,2012 - 2014,0101000020E61000008B6CE7FBA99956C0713D0AD7A3B03F40,added
0101000020E6100000CDCCCCCCCCC456C0C520B07268B13F40,MT. ISREAL BAPTIST CHURCH,31.693,-91.075,MS,2014,2012 - 2014,0101000020E6100000CDCCCCCCCCC456C0C520B07268B13F40,added
0101000020E61000001B2FDD24064956C08B6CE7FBA9B13F40,STRENGTHFORD,31.694,-89.141,MS,2014,2012 - 2014,0101000020E61000001B2FDD24064956C08B6CE7FBA9B13F40,added
0101000020E610000008AC1C5A643356C01904560E2DB23F40,BEAT FOUR A-L,31.696,-88.803,MS,2014,2012 - 2014,0101000020E610000008AC1C5A643356C01904560E2DB23F40,added
0101000020E610000037894160E54856C03333333333B33F40,PARKVIEW BAPTIST CHURCH,31.700,-89.139,MS,2014,2012 - 2014,0101000020E610000037894160E54856C03333333333B33F40,added
