pollid,pollname,x,y,stfp,cntyfp,tractfp,state
05e0aca1-6e22-475a-894a-57e39fdbe213,"Census Tract 9707.02, Greenwood County, South Carolina",-82.059,34.231,45,47,45047970702,SC
05f00c37-3a58-4030-9150-a6dc062cab7d,"Census Tract 106, Darlington County, South Carolina",-79.983,34.394,45,31,45031010600,SC
0600b3cf-4e88-4488-ab57-5959b3d2fe77,"Census Tract 112.05, Pickens County, South Carolina",-82.838,34.684,45,77,45077011205,SC
06217ca2-6aaf-47fe-8fab-461bd0700107,"Census Tract 7, Florence County, South Carolina",-79.749,34.197,45,41,45041000700,SC
065df3c6-68a3-48bf-8a87-e18b630db426,"Census Tract 227.02, Spartanburg County, South Carolina",-82.182,35.033,45,83,45083022702,SC
065df3c6-68a3-48bf-8a87-e18b630db426,"Census Tract 227, Spartanburg County, South Carolina",-82.182,35.033,45,83,45083022700,SC
06851440-897d-4c61-a5b6-8d1e78f82f88,"Census Tract 9703.02, Greenwood County, South Carolina",-82.224,34.192,45,47,45047970302,SC
06acf389-e220-474b-9931-37a98145c3f0,"Census Tract 9204, Laurens County, South Carolina",-82.016,34.483,45,59,45059920400,SC
06e75d66-980f-4b81-be92-6d7af1cf2921,"Census Tract 701.02, Horry County, South Carolina",-78.969,33.889,45,51,45051070102,SC
072261a6-94bc-4418-aedd-ed1a6821b7f7,"Census Tract 401.02, Horry County, South Carolina",-78.665,33.862,45,51,45051040102,SC
072e610e-6509-4222-bfb0-b8b904543f51,"Census Tract 9704, Edgefield County, South Carolina",-81.858,33.66,45,37,45037970400,SC
076560af-5322-4d8e-92cf-255f878a45df,"Census Tract 19.02, Sumter County, South Carolina",-80.356,33.853,45,85,45085001902,SC
07660f5d-51f8-4d6b-8c32-9fe09535e67d,"Census Tract 117.04, Orangeburg County, South Carolina",-81.007,33.373,45,75,45075011704,SC
07660f5d-51f8-4d6b-8c32-9fe09535e67d,"Census Tract 117, Orangeburg County, South Carolina",-81.007,33.373,45,75,45075011700,SC
076b6e9d-bfeb-4c2f-b5fe-9312dda649a4,"Census Tract 27, Richland County, South Carolina",-81.021,33.99,45,79,45079002700,SC
07ce2ac5-454e-4ce5-bf45-a306df6dd3ec,"Census Tract 9704.02, Cherokee County, South Carolina",-81.451,35.141,45,21,45021970402,SC
07ce2ac5-454e-4ce5-bf45-a306df6dd3ec,"Census Tract 9704.04, Cherokee County, South Carolina",-81.451,35.141,45,21,45021970404,SC
07e4fc5e-cb5e-436c-93c9-2a7d504639a2,"Census Tract 9604, Bamberg County, South Carolina",-80.909,33.091,45,9,45009960400,SC
08888f63-982c-4f7a-a9f2-aaae08ac36f2,"Census Tract 210.17, Lexington County, South Carolina",-81.189,33.942,45,63,45063021017,SC
08888f63-982c-4f7a-a9f2-aaae08ac36f2,"Census Tract 210.44, Lexington County, South Carolina",-81.189,33.942,45,63,45063021044,SC
08b71482-1c7e-4064-9a42-860ec9034a27,"Census Tract 610.03, York County, South Carolina",-80.993,35.064,45,91,45091061003,SC
08b71482-1c7e-4064-9a42-860ec9034a27,"Census Tract 610.10, York County, South Carolina",-80.993,35.064,45,91,45091061010,SC
08c9b9cd-e0b2-458a-a870-8d7b37c3072b,"Census Tract 605.01, York County, South Carolina",-81.028,34.924,45,91,45091060501,SC
08cee7cb-57e5-4008-8fc0-91e63593d5f6,"Census Tract 602.09, Horry County, South Carolina",-78.954,33.763,45,51,45051060209,SC
08d8129e-3e6f-4e82-88bf-56dc7fb1b9b5,"Census Tract 9702, Kershaw County, South Carolina",-80.49,34.554,45,55,45055970200,SC
091dab46-ef87-4309-a7ab-f1dde16e4076,"Census Tract 21.07, Beaufort County, South Carolina",-80.867,32.246,45,13,45013002107,SC
09253c1f-2095-4806-ab9e-7f108c0dff2b,"Census Tract 9708, Greenwood County, South Carolina",-82.157,34.17,45,47,45047970800,SC
09419bc2-b4a6-4960-8412-a3eb05f01b6f,"Census Tract 104, Dorchester County, South Carolina",-80.295,32.965,45,35,45035010400,SC
094bc8a2-2ddf-4a35-a4a6-73f20a1985e3,"Census Tract 202.01, Horry County, South Carolina",-78.812,34.032,45,51,45051020201,SC
094bc8a2-2ddf-4a35-a4a6-73f20a1985e3,"Census Tract 202, Horry County, South Carolina",-78.812,34.032,45,51,45051020200,SC
095911d1-84d2-431a-8217-4045e54b1fe7,"Census Tract 102.02, Lancaster County, South Carolina",-80.585,34.55,45,57,45057010202,SC
095911d1-84d2-431a-8217-4045e54b1fe7,"Census Tract 102, Lancaster County, South Carolina",-80.585,34.55,45,57,45057010200,SC
09713c19-27a4-4bdf-a46e-4ff8f5f13e3b,"Census Tract 208.01, Lexington County, South Carolina",-81.014,33.748,45,63,45063020801,SC
0975cd16-e976-4e9d-996d-ae6e48a3cf00,"Census Tract 205.04, Berkeley County, South Carolina",-80.005,33.2,45,15,45015020504,SC
09a1d4d2-d596-4517-ad6f-4aa758b4c34e,"Census Tract 9501, Abbeville County, South Carolina",-82.348,34.376,45,1,45001950100,SC
09bd8696-6e9d-43a2-ab3f-67b9ba347b23,"Census Tract 7, Sumter County, South Carolina",-80.335,33.934,45,85,45085000700,SC
09bfd65c-74c5-4192-ad95-56003deb8e34,"Census Tract 7, Florence County, South Carolina",-79.76,34.193,45,41,45041000700,SC
0a0e664b-4bf4-4e2a-868b-bae46fa80485,"Census Tract 9706.01, Dillon County, South Carolina",-79.544,34.353,45,33,45033970601,SC
0a0e664b-4bf4-4e2a-868b-bae46fa80485,"Census Tract 9706, Dillon County, South Carolina",-79.544,34.353,45,33,45033970600,SC
0a13ed0a-8a66-416f-b107-b58acb6956b7,"Census Tract 609.06, York County, South Carolina",-81.062,35.012,45,91,45091060906,SC
0a2c09e3-53d3-40f5-a68a-d5c967d19091,"Census Tract 510, Horry County, South Carolina",-78.94,33.663,45,51,45051051000,SC
0a52baa2-9e1f-4350-8862-0a497e7f04a8,"Census Tract 9505.02, Newberry County, South Carolina",-81.632,34.311,45,71,45071950502,SC
0a52eb9c-33b4-488b-8539-b1f9a51199b4,"Census Tract 111.02, Pickens County, South Carolina",-82.799,34.702,45,77,45077011102,SC
0a52eb9c-33b4-488b-8539-b1f9a51199b4,"Census Tract 111.04, Pickens County, South Carolina",-82.799,34.702,45,77,45077011104,SC
0a6fc586-d5ba-41f7-93c3-b2dd14458e46,"Census Tract 9705, Barnwell County, South Carolina",-81.342,33.124,45,11,45011970500,SC
0aa3b8be-7fb3-4bf8-9927-13e794fec983,"Census Tract 9205, Lee County, South Carolina",-80.287,34.155,45,61,45061920500,SC
0ab9fb77-4928-41cb-ba13-fcdbe75b0773,"Census Tract 9608.01, Clarendon County, South Carolina",-80.353,33.609,45,27,45027960801,SC
0aea4601-bfda-4087-bc84-4828bbcce9c3,"Census Tract 9709, Greenwood County, South Carolina",-82.242,34.051,45,47,45047970900,SC
0aec64ca-0f24-4eb4-a44d-3840d71fa54d,"Census Tract 22.02, Florence County, South Carolina",-79.749,33.871,45,41,45041002202,SC
0b1617fb-8ce7-4b8d-87a4-da08f1347a28,"Census Tract 113.01, Darlington County, South Carolina",-79.793,34.259,45,31,45031011301,SC
0b1617fb-8ce7-4b8d-87a4-da08f1347a28,"Census Tract 113, Darlington County, South Carolina",-79.793,34.259,45,31,45031011300,SC
0b1e7013-6c56-4255-9e30-24e362f43178,"Census Tract 106, Beaufort County, South Carolina",-80.739,32.233,45,13,45013010600,SC
0b3a8544-38a6-4310-8db7-a450c332956e,"Census Tract 217, Spartanburg County, South Carolina",-81.972,34.956,45,83,45083021700,SC
0b72f4af-5b60-4523-842f-c6d7c81b33e9,"Census Tract 210.02, Aiken County, South Carolina",-81.904,33.51,45,3,45003021002,SC
0b923941-badc-4704-97b5-c859b0936ca8,"Census Tract 9606, Clarendon County, South Carolina",-80.057,33.687,45,27,45027960600,SC
0bf2a4e5-7e7f-4b70-a91c-9e7a24d3e3c2,"Census Tract 119.02, Anderson County, South Carolina",-82.608,34.467,45,7,45007011902,SC
0c0bbf1e-5826-4157-8476-2e31fa1d2f26,"Census Tract 306.01, Oconee County, South Carolina",-83.025,34.68,45,73,45073030601,SC
0c508924-b1b5-4e3d-90b5-2cc1f6314a4f,"Census Tract 26.02, Richland County, South Carolina",-80.995,33.987,45,79,45079002602,SC
0c82f1bc-f880-46f7-a069-3a938b2a2001,"Census Tract 9707.02, Colleton County, South Carolina",-80.492,33.051,45,29,45029970702,SC
0c82f1bc-f880-46f7-a069-3a938b2a2001,"Census Tract 9707, Colleton County, South Carolina",-80.492,33.051,45,29,45029970700,SC
0c8aa844-6858-4c06-944c-a32c9dfe48b7,"Census Tract 15, Sumter County, South Carolina",-80.35,33.901,45,85,45085001500,SC
0ce40eb8-7cab-4251-95b6-ed32a46ae56f,"Census Tract 2.01, Florence County, South Carolina",-79.826,34.193,45,41,45041000201,SC
0cf02807-eb53-4572-b818-6adc4adea30b,"Census Tract 103.06, Richland County, South Carolina",-81.236,34.129,45,79,45079010306,SC
0cf02807-eb53-4572-b818-6adc4adea30b,"Census Tract 103.11, Richland County, South Carolina",-81.236,34.129,45,79,45079010311,SC
0cf8e466-b8bd-4a16-b343-e7f083ac26b7,"Census Tract 103, Lancaster County, South Carolina",-80.684,34.615,45,57,45057010300,SC
0cf8fafa-604d-495b-95dc-1c458e83c0c4,"Census Tract 303.02, Oconee County, South Carolina",-82.96,34.786,45,73,45073030302,SC
0cf8fafa-604d-495b-95dc-1c458e83c0c4,"Census Tract 303, Oconee County, South Carolina",-82.96,34.786,45,73,45073030300,SC
0d01f937-39e0-4d4a-8779-fb5c45b67917,"Census Tract 216.02, Aiken County, South Carolina",-81.697,33.491,45,3,45003021602,SC
0d01f937-39e0-4d4a-8779-fb5c45b67917,"Census Tract 216.04, Aiken County, South Carolina",-81.697,33.491,45,3,45003021604,SC
0d19e138-c882-4355-b568-4a5574ba3d0a,"Census Tract 9708, Kershaw County, South Carolina",-80.608,34.248,45,55,45055970800,SC
0d5aa850-5805-47be-8040-74df46c4e0ad,"Census Tract 116.07, Richland County, South Carolina",-80.947,33.968,45,79,45079011607,SC
0d5f6652-d832-433d-9e8f-747ffa31ab6c,"Census Tract 12, Florence County, South Carolina",-79.78,34.176,45,41,45041001200,SC
0d647372-bd30-4de2-a4f1-e9efdc407a50,"Census Tract 616.01, York County, South Carolina",-81.243,34.994,45,91,45091061601,SC
0d80c9dc-5427-4b3b-87f5-86434873b32e,"Census Tract 603.08, Horry County, South Carolina",-78.792,33.856,45,51,45051060308,SC
0e2b3e26-3dd7-481a-a249-73d715de142b,"Census Tract 603, York County, South Carolina",-81.026,34.913,45,91,45091060300,SC
0e6211bd-fbb0-4cfa-9d34-b433fbc81cae,"Census Tract 513.02, Horry County, South Carolina",-79.007,33.589,45,51,45051051302,SC
0e679233-ea68-4e09-9b6e-a05e2f214cae,"Census Tract 115.01, Anderson County, South Carolina",-82.446,34.437,45,7,45007011501,SC
0e679233-ea68-4e09-9b6e-a05e2f214cae,"Census Tract 115, Anderson County, South Carolina",-82.446,34.437,45,7,45007011500,SC
0e7e0b3b-dc4f-4479-99e3-295c23f2ff8b,"Census Tract 609.05, York County, South Carolina",-81.066,34.967,45,91,45091060905,SC
0ec2e3b0-4b5e-41fe-85a4-7ae9dce6cf8a,"Census Tract 15.02, Greenville County, South Carolina",-82.384,34.811,45,45,45045001502,SC
0ef1de81-9407-4a35-a0ac-f5fd14316925,"Census Tract 9207.01, Georgetown County, South Carolina",-79.319,33.323,45,43,45043920701,SC
0ef1de81-9407-4a35-a0ac-f5fd14316925,"Census Tract 9207, Georgetown County, South Carolina",-79.319,33.323,45,43,45043920700,SC
0f5f47d1-066c-402e-bbf4-4bba9dedda7a,"Census Tract 9605.01, Fairfield County, South Carolina",-81.125,34.343,45,39,45039960501,SC
