"state","census_tract","year","polling_locations_total","polling_locations_removed_since_last_general","polling_locations_added_since_last_general","est_total_population","population_density","percentage_race_white","percentage_race_black_african_american"
"SC","Census Tract 10",2012,NULL,NULL,NULL,5651,529,"0.701","0.166"
"SC","Census Tract 11.01",2012,2,NULL,NULL,3770,158,"0.575","0.393"
"SC","Census Tract 11.02",2012,3,NULL,NULL,4458,114,"0.225","0.704"
"SC","Census Tract 12",2012,1,NULL,NULL,842,24,"0.957","0.04"
"SC","Census Tract 21.01",2012,1,NULL,NULL,599,56,"0.943","0.032"
"SC","Census Tract 21.02",2012,NULL,NULL,NULL,1561,29,"0.789","0.12"
"SC","Census Tract 21.03",2012,NULL,NULL,NULL,2375,275,"0.771","0.122"
"SC","Census Tract 21.04",2012,2,NULL,NULL,12175,1475,"0.918","0.038"
"SC","Census Tract 21.05",2012,NULL,NULL,NULL,3077,656,"0.723","0.14"
"SC","Census Tract 21.06",2012,2,NULL,NULL,9639,1260,"0.779","0.129"
"SC","Census Tract 21.07",2012,2,NULL,NULL,9792,1434,"0.684","0.174"
"SC","Census Tract 21.08",2012,1,NULL,NULL,4450,512,"0.833","0.101"
"SC","Census Tract 22.01",2012,2,NULL,NULL,6318,203,"0.961","0.037"
"SC","Census Tract 22.02",2012,1,NULL,NULL,3147,84,"0.92","0.065"
"SC","Census Tract 101",2012,NULL,NULL,NULL,1660,552,"0.98","0"
"SC","Census Tract 102",2012,5,NULL,NULL,3488,724,"0.921","0.03"
"SC","Census Tract 103",2012,NULL,NULL,NULL,4078,844,"0.972","0.004"
"SC","Census Tract 104",2012,3,NULL,NULL,5778,880,"0.807","0.158"
"SC","Census Tract 105",2012,1,NULL,NULL,3548,1107,"0.677","0.194"
"SC","Census Tract 106",2012,2,NULL,NULL,4055,1162,"0.962","0.007"
"SC","Census Tract 107",2012,1,NULL,NULL,4468,1050,"0.981","0.014"
"SC","Census Tract 108",2012,2,NULL,NULL,3822,1494,"0.442","0.249"
"SC","Census Tract 109",2012,NULL,NULL,NULL,1597,735,"0.922","0.061"
"SC","Census Tract 110",2012,NULL,NULL,NULL,1680,758,"0.699","0.151"
"SC","Census Tract 111",2012,2,NULL,NULL,2089,620,"0.904","0.031"
"SC","Census Tract 112",2012,NULL,NULL,NULL,650,808,"0.992","0"
"SC","Census Tract 113",2012,1,NULL,NULL,1264,2103,"0.897","0.028"
"SC","Census Tract 9901",2012,NULL,NULL,NULL,0,0,"0","0"
"SC","Census Tract 201.01",2012,1,NULL,NULL,3064,64,"0.409","0.59"
"SC","Census Tract 201.02",2012,2,NULL,NULL,3752,37,"0.735","0.252"
"SC","Census Tract 202.01",2012,2,NULL,NULL,4151,96,"0.474","0.514"
"SC","Census Tract 202.02",2012,1,NULL,NULL,2904,29,"0.101","0.899"
"SC","Census Tract 203.01",2012,2,NULL,NULL,3282,51,"0.854","0.142"
"SC","Census Tract 203.02",2012,2,NULL,NULL,6858,152,"0.609","0.358"
"SC","Census Tract 204.01",2012,4,NULL,NULL,3698,12,"0.552","0.419"
"SC","Census Tract 204.03",2012,1,NULL,NULL,6054,528,"0.895","0.072"
"SC","Census Tract 204.04",2012,NULL,NULL,NULL,4039,155,"0.713","0.256"
"SC","Census Tract 204.05",2012,2,NULL,NULL,2728,33,"0.412","0.58"
"SC","Census Tract 205.03",2012,1,NULL,NULL,4882,92,"0.649","0.317"
"SC","Census Tract 205.04",2012,2,NULL,NULL,4091,523,"0.502","0.434"
"SC","Census Tract 205.05",2012,NULL,NULL,NULL,2664,837,"0.609","0.355"
"SC","Census Tract 205.06",2012,3,NULL,NULL,5316,711,"0.527","0.409"
"SC","Census Tract 206",2012,2,NULL,NULL,5310,127,"0.77","0.172"
"SC","Census Tract 207.07",2012,1,NULL,NULL,5970,279,"0.627","0.302"
"SC","Census Tract 207.10",2012,1,NULL,NULL,4867,196,"0.694","0.217"
"SC","Census Tract 207.11",2012,1,NULL,NULL,2732,158,"0.851","0.145"
"SC","Census Tract 207.12",2012,1,NULL,NULL,3578,770,"0.913","0.041"
"SC","Census Tract 207.13",2012,NULL,NULL,NULL,2355,195,"0.856","0.088"
"SC","Census Tract 207.14",2012,NULL,NULL,NULL,6170,2075,"0.724","0.244"
"SC","Census Tract 207.15",2012,NULL,NULL,NULL,4767,4587,"0.707","0.183"
"SC","Census Tract 207.16",2012,NULL,NULL,NULL,7262,1923,"0.731","0.171"
"SC","Census Tract 207.17",2012,3,NULL,NULL,5162,3188,"0.753","0.154"
"SC","Census Tract 207.18",2012,1,NULL,NULL,4233,1940,"0.717","0.244"
"SC","Census Tract 207.19",2012,1,NULL,NULL,6541,3515,"0.755","0.168"
"SC","Census Tract 207.20",2012,NULL,NULL,NULL,3536,3945,"0.827","0.11"
"SC","Census Tract 207.21",2012,1,NULL,NULL,3333,1487,"0.759","0.189"
"SC","Census Tract 207.22",2012,NULL,NULL,NULL,3871,3981,"0.878","0.081"
"SC","Census Tract 207.23",2012,1,NULL,NULL,3102,3088,"0.738","0.171"
"SC","Census Tract 207.24",2012,NULL,NULL,NULL,3247,176,"0.893","0.049"
"SC","Census Tract 207.25",2012,NULL,NULL,NULL,1229,1794,"0.663","0.106"
"SC","Census Tract 208.04",2012,1,NULL,NULL,2901,3274,"0.404","0.299"
"SC","Census Tract 208.06",2012,NULL,NULL,NULL,3455,3404,"0.744","0.18"
"SC","Census Tract 208.07",2012,1,NULL,NULL,5513,1102,"0.62","0.257"
"SC","Census Tract 208.08",2012,NULL,NULL,NULL,3440,2777,"0.52","0.299"
"SC","Census Tract 208.09",2012,1,NULL,NULL,3356,1968,"0.687","0.221"
"SC","Census Tract 208.10",2012,1,NULL,NULL,3759,3137,"0.526","0.266"
"SC","Census Tract 208.11",2012,NULL,NULL,NULL,4627,6276,"0.467","0.356"
"SC","Census Tract 208.12",2012,NULL,NULL,NULL,4446,1414,"0.802","0.107"
"SC","Census Tract 209.01",2012,NULL,NULL,NULL,1732,4692,"0.723","0.155"
"SC","Census Tract 209.03",2012,1,NULL,NULL,3164,2221,"0.806","0.175"
"SC","Census Tract 209.04",2012,2,NULL,NULL,3580,2126,"0.657","0.228"
"SC","Census Tract 210",2012,1,NULL,NULL,5052,1256,"0.683","0.239"
"SC","Census Tract 9801",2012,NULL,NULL,NULL,0,0,"0","0"
"SC","Census Tract 9501",2012,4,NULL,NULL,5776,50,"0.641","0.331"
"SC","Census Tract 9502",2012,3,NULL,NULL,5683,53,"0.479","0.496"
"SC","Census Tract 9504",2012,5,NULL,NULL,3675,23,"0.521","0.464"
