pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E610000079E9263108F455C02B8716D9CE474540,12 SOUTHPORT BEACH HOUSE,42.561,-87.813,WI,2014,2012 - 2014,0101000020E610000079E9263108F455C02B8716D9CE474540,no_change
0101000020E6100000C3F5285C8FFA55C0D578E92631484540,WARDS 14 ST. ANNE CATHOLIC CHURCH 2012,42.564,-87.915,WI,2014,2012 - 2014,0101000020E6100000C3F5285C8FFA55C0D578E92631484540,no_change
0101000020E6100000D578E926317856C046B6F3FDD4484540,SOUTH WAYNE FIREHOUSE,42.569,-89.878,WI,2014,2012 - 2014,0101000020E6100000D578E926317856C046B6F3FDD4484540,no_change
0101000020E610000079E9263108FC55C046B6F3FDD4484540,JOURNEY CHURCH,42.569,-87.938,WI,2014,2012 - 2014,0101000020E610000079E9263108FC55C046B6F3FDD4484540,no_change
0101000020E610000046B6F3FDD49856C0295C8FC2F5484540,BENTON TOWN BUILDING,42.570,-90.388,WI,2014,2012 - 2014,0101000020E610000046B6F3FDD49856C0295C8FC2F5484540,no_change
0101000020E6100000F0A7C64B379956C00C022B8716494540,BENTON VILLAGE HALL CONFERENCE ROOM,42.571,-90.394,WI,2014,2012 - 2014,0101000020E6100000F0A7C64B379956C00C022B8716494540,no_change
0101000020E6100000A01A2FDD249656C00C022B8716494540,NEW DIGGINGS TOWN HALL,42.571,-90.346,WI,2014,2012 - 2014,0101000020E6100000A01A2FDD249656C00C022B8716494540,no_change
0101000020E6100000105839B4C88E56C0F0A7C64B37494540,SHULLSBURG COMMUNITY TOWNSEND CENTER,42.572,-90.231,WI,2014,2012 - 2014,0101000020E6100000105839B4C88E56C0F0A7C64B37494540,no_change
0101000020E6100000AE47E17A140656C0F0A7C64B37494540,PADDOCK LAKE VILLAGE HALL,42.572,-88.095,WI,2014,2012 - 2014,0101000020E6100000AE47E17A140656C0F0A7C64B37494540,no_change
0101000020E61000009EEFA7C64B8F56C0D34D621058494540,SHULLSBURG TOWN HALL,42.573,-90.239,WI,2014,2012 - 2014,0101000020E61000009EEFA7C64B8F56C0D34D621058494540,no_change
0101000020E61000001D5A643BDFF755C0D34D621058494540,KENOSHA BIBLE CHURCH CONFERENCE ROOM,42.573,-87.873,WI,2014,2012 - 2014,0101000020E61000001D5A643BDFF755C0D34D621058494540,no_change
0101000020E61000009EEFA7C64BF755C0D34D621058494540,15 FOREST PARK ELEMENTARY SCHOOL,42.573,-87.864,WI,2014,2012 - 2014,0101000020E61000009EEFA7C64BF755C0D34D621058494540,no_change
0101000020E6100000D9CEF753E3F555C0D34D621058494540,KENOSHA SENIOR CITIZEN CENTER,42.573,-87.842,WI,2014,2012 - 2014,0101000020E6100000D9CEF753E3F555C0D34D621058494540,no_change
0101000020E6100000105839B4C8F655C0B6F3FDD478494540,VFW POST #1865,42.574,-87.856,WI,2014,2012 - 2014,0101000020E6100000105839B4C8F655C0B6F3FDD478494540,no_change
0101000020E6100000931804560EF555C07D3F355EBA494540,03 BRASS COMMUNITY SCHOOL,42.576,-87.829,WI,2014,2012 - 2014,0101000020E6100000931804560EF555C07D3F355EBA494540,no_change
0101000020E6100000894160E5D07256C060E5D022DB494540,BROWNTOWN VILLAGE HALL,42.577,-89.794,WI,2014,2012 - 2014,0101000020E6100000894160E5D07256C060E5D022DB494540,no_change
0101000020E610000014AE47E17A3C56C0448B6CE7FB494540,TURTLE COMMUNITY CENTER,42.578,-88.945,WI,2014,2012 - 2014,0101000020E610000014AE47E17A3C56C0448B6CE7FB494540,no_change
0101000020E6100000B6F3FDD4788156C0273108AC1C4A4540,GRATIOT FIRE STATION,42.579,-90.023,WI,2014,2012 - 2014,0101000020E6100000B6F3FDD4788156C0273108AC1C4A4540,no_change
0101000020E6100000A8C64B37898156C00AD7A3703D4A4540,GRATIOT VILLAGE OFFICE,42.580,-90.024,WI,2014,2012 - 2014,0101000020E6100000A8C64B37898156C00AD7A3703D4A4540,no_change
0101000020E61000004A0C022B870E56C00AD7A3703D4A4540,WHEATLAND TOWN HALL,42.580,-88.227,WI,2014,2012 - 2014,0101000020E61000004A0C022B870E56C00AD7A3703D4A4540,no_change
0101000020E61000003BDF4F8D97A656C0D122DBF97E4A4540,2012 JAMESTOWN TOWN HALL,42.582,-90.603,WI,2014,2012 - 2014,0101000020E61000003BDF4F8D97A656C0D122DBF97E4A4540,no_change
0101000020E61000008D976E12832056C0D122DBF97E4A4540,CHAPEL ON THE HILL,42.582,-88.508,WI,2014,2012 - 2014,0101000020E61000008D976E12832056C0D122DBF97E4A4540,no_change
0101000020E61000006DE7FBA9F12256C0986E1283C04A4540,WILLIAMS BAY VILLAGE HALL,42.584,-88.546,WI,2014,2012 - 2014,0101000020E61000006DE7FBA9F12256C0986E1283C04A4540,no_change
0101000020E6100000560E2DB29DF755C05EBA490C024B4540,11 CURTIS STRANGE ELEMENTARY SCHOOL,42.586,-87.869,WI,2014,2012 - 2014,0101000020E6100000560E2DB29DF755C05EBA490C024B4540,no_change
0101000020E61000006ABC749318F455C05EBA490C024B4540,KENOSHA PUBLIC MUSEUM,42.586,-87.814,WI,2014,2012 - 2014,0101000020E61000006ABC749318F455C05EBA490C024B4540,no_change
0101000020E6100000F2D24D62106056C025068195434B4540,JUDA COMMUNITY CENTER,42.588,-89.501,WI,2014,2012 - 2014,0101000020E6100000F2D24D62106056C025068195434B4540,no_change
0101000020E6100000AAF1D24D62F855C008AC1C5A644B4540,16 NORTH SHORE BANK,42.589,-87.881,WI,2014,2012 - 2014,0101000020E6100000AAF1D24D62F855C008AC1C5A644B4540,no_change
0101000020E61000003BDF4F8D97F655C008AC1C5A644B4540,KUSD EDUCATIONAL SUPPORT CENTER,42.589,-87.853,WI,2014,2012 - 2014,0101000020E61000003BDF4F8D97F655C008AC1C5A644B4540,no_change
0101000020E61000004A0C022B872E56C096438B6CE74B4540,DARIEN TOWN HALL,42.593,-88.727,WI,2014,2012 - 2014,0101000020E61000004A0C022B872E56C096438B6CE74B4540,no_change
0101000020E6100000C1CAA145B61B56C096438B6CE74B4540,LAKE GENEVA CITY HALL,42.593,-88.433,WI,2014,2012 - 2014,0101000020E6100000C1CAA145B61B56C096438B6CE74B4540,no_change
0101000020E6100000E7FBA9F1D2F555C079E92631084C4540,EDWARD BAIN SCHOOL OF LANGUAGE AND ART,42.594,-87.841,WI,2014,2012 - 2014,0101000020E6100000E7FBA9F1D2F555C079E92631084C4540,no_change
0101000020E6100000A8C64B37895956C05C8FC2F5284C4540,SPRING GROVE TOWN HALL,42.595,-89.399,WI,2014,2012 - 2014,0101000020E6100000A8C64B37895956C05C8FC2F5284C4540,no_change
0101000020E6100000931804560E3556C05C8FC2F5284C4540,BRADFORD TOWN HALL,42.595,-88.829,WI,2014,2012 - 2014,0101000020E6100000931804560E3556C05C8FC2F5284C4540,no_change
0101000020E6100000DD240681959B56C023DBF97E6A4C4540,CUBA CITY FIRE/RESCUE BUILDING,42.597,-90.431,WI,2014,2012 - 2014,0101000020E6100000DD240681959B56C023DBF97E6A4C4540,no_change
0101000020E61000002DB29DEFA7F655C023DBF97E6A4C4540,16 KENOSHA TRANSIT FACILITY,42.597,-87.854,WI,2014,2012 - 2014,0101000020E61000002DB29DEFA7F655C023DBF97E6A4C4540,no_change
0101000020E6100000A4703D0AD71B56C0E9263108AC4C4540,LAKE GENEVA FIRE DEPARTMENT STATION 1,42.599,-88.435,WI,2014,2012 - 2014,0101000020E6100000A4703D0AD71B56C0E9263108AC4C4540,no_change
0101000020E610000054E3A59BC46856C0B0726891ED4C4540,MONROE COMMUNITY CENTER,42.601,-89.637,WI,2014,2012 - 2014,0101000020E610000054E3A59BC46856C0B0726891ED4C4540,no_change
0101000020E6100000F853E3A59BF455C0B0726891ED4C4540,01 ST. JOHN'S LUTHERAN CHURCH,42.601,-87.822,WI,2014,2012 - 2014,0101000020E6100000F853E3A59BF455C0B0726891ED4C4540,no_change
0101000020E6100000931804560EA556C021B07268914D4540,2012 PARIS TOWN HALL,42.606,-90.579,WI,2014,2012 - 2014,0101000020E6100000931804560EA556C021B07268914D4540,no_change
0101000020E6100000F853E3A59B4456C021B07268914D4540,ROCK TOWN HALL,42.606,-89.072,WI,2014,2012 - 2014,0101000020E6100000F853E3A59B4456C021B07268914D4540,no_change
0101000020E6100000AE47E17A14F655C091ED7C3F354E4540,06 MOOSE LODGE,42.611,-87.845,WI,2014,2012 - 2014,0101000020E6100000AE47E17A14F655C091ED7C3F354E4540,no_change
0101000020E61000007F6ABC74935856C0022B8716D94E4540,DECATUR TOWN HALL,42.616,-89.384,WI,2014,2012 - 2014,0101000020E61000007F6ABC74935856C0022B8716D94E4540,no_change
0101000020E6100000931804560EF555C0022B8716D94E4540,05 HOLY NATIVITY EVANGELICAL LUTH. CHURCH,42.616,-87.829,WI,2014,2012 - 2014,0101000020E6100000931804560EF555C0022B8716D94E4540,no_change
0101000020E6100000D578E926315856C0AC1C5A643B4F4540,BRODHEAD CITY HALL,42.619,-89.378,WI,2014,2012 - 2014,0101000020E6100000D578E926315856C0AC1C5A643B4F4540,no_change
0101000020E61000005A643BDF4F2556C0AC1C5A643B4F4540,COMMUNITY PARK,42.619,-88.583,WI,2014,2012 - 2014,0101000020E61000005A643BDF4F2556C0AC1C5A643B4F4540,no_change
0101000020E6100000BA490C022B1F56C0AC1C5A643B4F4540,GENEVA TOWN HALL,42.619,-88.487,WI,2014,2012 - 2014,0101000020E6100000BA490C022B1F56C0AC1C5A643B4F4540,no_change
0101000020E610000021B0726891F555C0AC1C5A643B4F4540,MESSIAH LUTHERAN CHURCH,42.619,-87.837,WI,2014,2012 - 2014,0101000020E610000021B0726891F555C0AC1C5A643B4F4540,no_change
0101000020E6100000F2D24D62105856C08FC2F5285C4F4540,BRODHEAD CITY HALL,42.620,-89.376,WI,2014,2012 - 2014,0101000020E6100000F2D24D62105856C08FC2F5285C4F4540,no_change
0101000020E6100000022B8716D99E56C01D5A643BDF4F4540,SMELSER TOWN HALL,42.624,-90.482,WI,2014,2012 - 2014,0101000020E6100000022B8716D99E56C01D5A643BDF4F4540,no_change
0101000020E610000062105839B46856C00000000000504540,MONROE TOWN HALL,42.625,-89.636,WI,2014,2012 - 2014,0101000020E610000062105839B46856C00000000000504540,no_change
0101000020E6100000A245B6F3FD3C56C0C74B378941504540,LA PRAIRIE GRANGE HALL,42.627,-88.953,WI,2014,2012 - 2014,0101000020E6100000A245B6F3FD3C56C0C74B378941504540,no_change
0101000020E6100000713D0AD7A30056C0AAF1D24D62504540,PARIS SAFETY BUILDING,42.628,-88.010,WI,2014,2012 - 2014,0101000020E6100000713D0AD7A30056C0AAF1D24D62504540,no_change
0101000020E610000004560E2DB2A556C08D976E1283504540,DICKEYVILLE COMMUNITY CENTER,42.629,-90.589,WI,2014,2012 - 2014,0101000020E610000004560E2DB2A556C08D976E1283504540,no_change
