changeyear,cntyfp,baseyear,lastgeyear,changenopolls,nopollsadded,nopollsremoved,norvby,popdensityby,changenorv,changenorvpernopoll,state
2020 - 2022,45049,2022,2020,3,1,2,12067.0,34,-1123.0,374.0,SC
2012 - 2014,45051,2014,2012,7,4,3,177527.0,250,6814.0,973.0,SC
2014 - 2016,45051,2016,2014,9,5,4,204929.0,265,27402.0,3044.0,SC
2016 - 2018,45051,2018,2016,6,4,2,214821.0,283,9892.0,1648.0,SC
2018 - 2020,45051,2020,2018,15,7,8,254569.0,304,39748.0,2649.0,SC
2020 - 2022,45051,2022,2020,5,3,2,261725.0,304,7156.0,1431.0,SC
2012 - 2014,45053,2014,2012,3,2,1,15566.0,40,1111.0,370.0,SC
2014 - 2016,45053,2016,2014,1,0,1,17883.0,41,2317.0,2317.0,SC
2016 - 2018,45053,2018,2016,2,1,1,18755.0,43,872.0,436.0,SC
2018 - 2020,45053,2020,2018,4,2,2,21865.0,45,3110.0,777.0,SC
2020 - 2022,45053,2022,2020,9,5,4,22369.0,43,504.0,56.0,SC
2012 - 2014,45055,2014,2012,0,0,0,39116.0,86,-6.0,0.0,SC
2014 - 2016,45055,2016,2014,4,2,2,41676.0,87,2560.0,640.0,SC
2016 - 2018,45055,2018,2016,0,0,0,41433.0,89,-243.0,0.0,SC
2018 - 2020,45055,2020,2018,14,6,8,44370.0,91,2937.0,209.0,SC
2020 - 2022,45055,2022,2020,2,1,1,42777.0,89,-1593.0,796.0,SC
2012 - 2014,45057,2014,2012,0,0,0,49995.0,145,2552.0,0.0,SC
2014 - 2016,45057,2016,2014,7,6,1,54859.0,152,4864.0,694.0,SC
2016 - 2018,45057,2018,2016,1,1,0,58188.0,163,3329.0,3329.0,SC
2018 - 2020,45057,2020,2018,10,5,5,67514.0,174,9326.0,932.0,SC
2020 - 2022,45057,2022,2020,8,4,4,69690.0,172,2176.0,272.0,SC
2012 - 2014,45059,2014,2012,6,2,4,36259.0,93,-644.0,107.0,SC
2014 - 2016,45059,2016,2014,2,1,1,39516.0,93,3257.0,1628.0,SC
2016 - 2018,45059,2018,2016,4,2,2,38270.0,93,-1246.0,311.0,SC
2018 - 2020,45059,2020,2018,8,4,4,42249.0,94,3979.0,497.0,SC
2020 - 2022,45059,2022,2020,10,5,5,39823.0,94,-2426.0,242.0,SC
2012 - 2014,45061,2014,2012,0,0,0,11945.0,46,-145.0,0.0,SC
2014 - 2016,45061,2016,2014,0,0,0,12205.0,44,260.0,0.0,SC
2016 - 2018,45061,2018,2016,0,0,0,11556.0,43,-649.0,0.0,SC
2018 - 2020,45061,2020,2018,5,1,4,12016.0,42,460.0,92.0,SC
2020 - 2022,45061,2022,2020,4,4,0,10578.0,41,-1438.0,359.0,SC
2012 - 2014,45063,2014,2012,4,4,0,161424.0,387,-1142.0,285.0,SC
2014 - 2016,45063,2016,2014,0,0,0,176239.0,397,14815.0,0.0,SC
2016 - 2018,45063,2018,2016,0,0,0,178891.0,410,2652.0,0.0,SC
2018 - 2020,45063,2020,2018,7,2,5,200416.0,422,21525.0,3075.0,SC
2020 - 2022,45063,2022,2020,5,4,1,195197.0,417,-5219.0,1043.0,SC
2012 - 2014,45065,2014,2012,1,1,0,6634.0,28,-48.0,48.0,SC
2014 - 2016,45065,2016,2014,0,0,0,7093.0,27,459.0,0.0,SC
2016 - 2018,45065,2018,2016,0,0,0,7029.0,27,-64.0,0.0,SC
2018 - 2020,45065,2020,2018,10,5,5,7641.0,26,612.0,61.0,SC
2020 - 2022,45065,2022,2020,3,2,1,7609.0,27,-32.0,10.0,SC
2012 - 2014,45067,2014,2012,0,0,0,21310.0,66,-342.0,0.0,SC
2014 - 2016,45067,2016,2014,0,0,0,22314.0,65,1004.0,0.0,SC
2016 - 2018,45067,2018,2016,0,0,0,20883.0,65,-1431.0,0.0,SC
2018 - 2020,45067,2020,2018,0,0,0,21828.0,63,945.0,0.0,SC
2020 - 2022,45067,2022,2020,2,1,1,20431.0,60,-1397.0,698.0,SC
2012 - 2014,45069,2014,2012,0,0,0,17445.0,59,-213.0,0.0,SC
2014 - 2016,45069,2016,2014,0,0,0,18477.0,58,1032.0,0.0,SC
2016 - 2018,45069,2018,2016,0,0,0,17411.0,57,-1066.0,0.0,SC
2018 - 2020,45069,2020,2018,1,1,0,18401.0,55,990.0,990.0,SC
2020 - 2022,45069,2022,2020,0,0,0,16254.0,56,-2147.0,0.0,SC
2012 - 2014,45071,2014,2012,0,0,0,22130.0,60,-300.0,0.0,SC
2014 - 2016,45071,2016,2014,0,0,0,23531.0,60,1401.0,0.0,SC
2016 - 2018,45071,2018,2016,2,1,1,22849.0,60,-682.0,341.0,SC
2018 - 2020,45071,2020,2018,11,6,5,24832.0,61,1983.0,180.0,SC
2020 - 2022,45071,2022,2020,0,0,0,23732.0,60,-1100.0,0.0,SC
2012 - 2014,45073,2014,2012,2,1,1,45945.0,119,473.0,236.0,SC
2014 - 2016,45073,2016,2014,0,0,0,50114.0,120,4169.0,0.0,SC
2016 - 2018,45073,2018,2016,1,0,1,49509.0,122,-605.0,605.0,SC
2018 - 2020,45073,2020,2018,7,4,3,55810.0,125,6301.0,900.0,SC
2020 - 2022,45073,2022,2020,0,0,0,54116.0,124,-1694.0,0.0,SC
2012 - 2014,45075,2014,2012,0,0,0,55870.0,83,-4653.0,0.0,SC
2014 - 2016,45075,2016,2014,2,1,1,58756.0,81,2886.0,1443.0,SC
2016 - 2018,45075,2018,2016,0,0,0,56318.0,80,-2438.0,0.0,SC
2018 - 2020,45075,2020,2018,1,1,0,58785.0,79,2467.0,2467.0,SC
2020 - 2022,45075,2022,2020,4,3,1,53536.0,77,-5249.0,1312.0,SC
2012 - 2014,45077,2014,2012,6,3,3,62424.0,241,-1683.0,280.0,SC
2014 - 2016,45077,2016,2014,12,6,6,68808.0,243,6384.0,532.0,SC
2016 - 2018,45077,2018,2016,14,7,7,69847.0,247,1039.0,74.0,SC
2018 - 2020,45077,2020,2018,19,9,10,78015.0,252,8168.0,429.0,SC
2020 - 2022,45077,2022,2020,20,11,9,75940.0,261,-2075.0,103.0,SC
2012 - 2014,45079,2014,2012,29,26,3,240416.0,520,-4305.0,148.0,SC
2014 - 2016,45079,2016,2014,1,0,1,252739.0,531,12323.0,12323.0,SC
2016 - 2018,45079,2018,2016,14,6,8,251063.0,539,-1676.0,119.0,SC
2018 - 2020,45079,2020,2018,23,11,12,278632.0,548,27569.0,1198.0,SC
2020 - 2022,45079,2022,2020,29,11,18,271139.0,548,-7493.0,258.0,SC
2012 - 2014,45081,2014,2012,0,0,0,11037.0,44,-282.0,0.0,SC
2014 - 2016,45081,2016,2014,0,0,0,11817.0,44,780.0,0.0,SC
2016 - 2018,45081,2018,2016,0,0,0,11259.0,45,-558.0,0.0,SC
2018 - 2020,45081,2020,2018,12,5,7,12078.0,45,819.0,68.0,SC
2020 - 2022,45081,2022,2020,8,3,5,11639.0,42,-439.0,54.0,SC
2012 - 2014,45083,2014,2012,1,0,1,160749.0,357,430.0,430.0,SC
2014 - 2016,45083,2016,2014,15,6,9,177635.0,364,16886.0,1125.0,SC
2016 - 2018,45083,2018,2016,6,5,1,179502.0,374,1867.0,311.0,SC
2018 - 2020,45083,2020,2018,14,7,7,204789.0,388,25287.0,1806.0,SC
2020 - 2022,45083,2022,2020,16,7,9,202773.0,399,-2016.0,126.0,SC
2012 - 2014,45085,2014,2012,1,0,1,63355.0,162,-3912.0,3912.0,SC
2014 - 2016,45085,2016,2014,0,0,0,68619.0,162,5264.0,0.0,SC
2016 - 2018,45085,2018,2016,2,1,1,67355.0,161,-1264.0,632.0,SC
2018 - 2020,45085,2020,2018,12,5,7,73261.0,160,5906.0,492.0,SC
2020 - 2022,45085,2022,2020,1,1,0,66461.0,159,-6800.0,6800.0,SC
2012 - 2014,45087,2014,2012,0,0,0,16986.0,55,-295.0,0.0,SC
2014 - 2016,45087,2016,2014,0,0,0,17573.0,54,587.0,0.0,SC
2016 - 2018,45087,2018,2016,0,0,0,16279.0,54,-1294.0,0.0,SC
2018 - 2020,45087,2020,2018,1,1,0,17512.0,53,1233.0,1233.0,SC
2020 - 2022,45087,2022,2020,6,3,3,16259.0,53,-1253.0,208.0,SC
2012 - 2014,45089,2014,2012,0,0,0,21692.0,36,-297.0,0.0,SC
2014 - 2016,45089,2016,2014,1,0,1,22646.0,35,954.0,954.0,SC
2016 - 2018,45089,2018,2016,0,0,0,21345.0,34,-1301.0,0.0,SC
2018 - 2020,45089,2020,2018,6,4,2,22213.0,33,868.0,144.0,SC
2020 - 2022,45089,2022,2020,4,2,2,20266.0,33,-1947.0,486.0,SC
2012 - 2014,45091,2014,2012,9,6,3,148767.0,346,5428.0,603.0,SC
2014 - 2016,45091,2016,2014,11,5,6,167053.0,361,18286.0,1662.0,SC
2016 - 2018,45091,2018,2016,20,10,10,171233.0,380,4180.0,209.0,SC
2018 - 2020,45091,2020,2018,11,6,5,197666.0,402,26433.0,2403.0,SC
2020 - 2022,45091,2022,2020,19,10,9,194401.0,406,-3265.0,171.0,SC
2016 - 2018,13001,2018,2016,5,4,1,,36,,,GA
2018 - 2020,13001,2020,2018,5,1,4,,36,,,GA
2020 - 2022,13001,2022,2020,5,2,3,,36,,,GA
2016 - 2018,13003,2018,2016,0,0,0,,24,,0.0,GA
2018 - 2020,13003,2020,2018,0,0,0,,24,,0.0,GA
2020 - 2022,13003,2022,2020,0,0,0,,24,,0.0,GA
2016 - 2018,13005,2018,2016,4,4,0,,40,,,GA
2018 - 2020,13005,2020,2018,4,0,4,,39,,,GA
2020 - 2022,13005,2022,2020,0,0,0,,39,,0.0,GA
2016 - 2018,13007,2018,2016,6,1,5,,9,,,GA
2018 - 2020,13007,2020,2018,0,0,0,,9,,0.0,GA
