localityid,geoid,name,x,y,stfp,cntyfp,tractfp
062f27cc-cb0c-4323-8da3-5d2fe627ea55,1400000US28131020201,"Census Tract 202.01, Stone County, Mississippi",-89.126,30.809,28,131,28131020201
062f27cc-cb0c-4323-8da3-5d2fe627ea55,1400000US28131020204,"Census Tract 202.04, Stone County, Mississippi",-89.126,30.809,28,131,28131020204
064f2db3-b670-4dd1-873c-3abc2a7ca744,1400000US28035010400,"Census Tract 104, Forrest County, Mississippi",-89.264,31.337,28,035,28035010400
06542e7c-79c1-42eb-a6c4-c831643dfb99,1400000US28085950100,"Census Tract 9501, Lincoln County, Mississippi",-90.397,31.646,28,085,28085950100
065e52d8-5f70-4814-9f24-9341fc6706c4,1400000US28067951000,"Census Tract 9510, Jones County, Mississippi",-89.204,31.599,28,067,28067951000
066e2754-ded7-4094-bd03-393af1df0d74,1400000US28129950301,"Census Tract 9503.01, Smith County, Mississippi",-89.441,31.847,28,129,28129950301
06756c3d-b327-4591-924a-92e4e2d62237,1400000US28073020202,"Census Tract 202.02, Lamar County, Mississippi",-89.437,31.329,28,073,28073020202
06756c3d-b327-4591-924a-92e4e2d62237,1400000US28073020205,"Census Tract 202.05, Lamar County, Mississippi",-89.437,31.329,28,073,28073020205
06a924cf-dcbe-4ec1-9014-1f65b2085a3b,1400000US28045030602,"Census Tract 306.02, Hancock County, Mississippi",-89.414,30.405,28,045,28045030602
06a924cf-dcbe-4ec1-9014-1f65b2085a3b,1400000US28045030605,"Census Tract 306.05, Hancock County, Mississippi",-89.414,30.405,28,045,28045030605
06dd66ed-0430-438c-a4b3-e2689ce738f0,1400000US28139950200,"Census Tract 9502, Tippah County, Mississippi",-88.770,34.793,28,139,28139950200
06ddf3ec-a3a7-4f46-952e-14e24c6b994d,1400000US28089030201,"Census Tract 302.01, Madison County, Mississippi",-90.072,32.471,28,089,28089030201
06ddf3ec-a3a7-4f46-952e-14e24c6b994d,1400000US28089030208,"Census Tract 302.08, Madison County, Mississippi",-90.072,32.471,28,089,28089030208
06e46ba0-025c-4f93-a2aa-18cfabf78f15,1400000US28155950200,"Census Tract 9502, Webster County, Mississippi",-89.347,33.622,28,155,28155950200
06f02f95-355e-4dc3-a5ae-9c3ab11ffd9a,1400000US28093950401,"Census Tract 9504.01, Marshall County, Mississippi",-89.450,34.773,28,093,28093950401
06f5a613-b29d-4f80-81d7-17d56899373d,1400000US28107950300,"Census Tract 9503, Panola County, Mississippi",-89.762,34.361,28,107,28107950300
06f5a613-b29d-4f80-81d7-17d56899373d,1400000US28107950301,"Census Tract 9503.01, Panola County, Mississippi",-89.762,34.361,28,107,28107950301
070292a2-e020-47ad-b553-40f6c56a0bba,1400000US28061950200,"Census Tract 9502, Jasper County, Mississippi",-89.289,32.007,28,061,28061950200
071a1234-49c6-459f-9043-380dafbaf580,1400000US28133950500,"Census Tract 9505, Sunflower County, Mississippi",-90.504,33.449,28,133,28133950500
07223cd7-0b49-4498-978b-fe1e09ba457b,1400000US28005950100,"Census Tract 9501, Amite County, Mississippi",-90.791,31.167,28,005,28005950100
07413454-ce44-4308-95e2-32c9976df1f3,1400000US28031950200,"Census Tract 9502, Covington County, Mississippi",-89.546,31.637,28,031,28031950200
07765c95-b193-42fe-b9a7-7987723cbb2c,1400000US28049010500,"Census Tract 105, Hinds County, Mississippi",-90.460,32.350,28,049,28049010500
07765c95-b193-42fe-b9a7-7987723cbb2c,1400000US28049010502,"Census Tract 105.02, Hinds County, Mississippi",-90.460,32.350,28,049,28049010502
077b264f-ae57-474b-8fa7-19f4f55e144f,1400000US28079040400,"Census Tract 404, Leake County, Mississippi",-89.374,32.672,28,079,28079040400
07cba09f-3093-432b-8e86-8dfa326d962e,1400000US28163950100,"Census Tract 9501, Yazoo County, Mississippi",-90.273,32.941,28,163,28163950100
07cddd25-4eab-4e90-811f-afbffa005677,1400000US28085950300,"Census Tract 9503, Lincoln County, Mississippi",-90.289,31.485,28,085,28085950300
07cddd25-4eab-4e90-811f-afbffa005677,1400000US28085950301,"Census Tract 9503.01, Lincoln County, Mississippi",-90.289,31.485,28,085,28085950301
07de03f0-3e7e-460e-8c1a-3f243fdde339,1400000US28139950401,"Census Tract 9504.01, Tippah County, Mississippi",-88.984,34.706,28,139,28139950401
