localityid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
79910b17-1420-4404-8378-d675efb6aefe,GREENWOOD CHRISTIAN SCHOOL,34.199,-82.213,SC,2020,2018 - 2020,0101000020E61000001283C0CAA18D54C0B6F3FDD478194140,added
79910b17-1420-4404-8378-d675efb6aefe,GREENWOOD CHRISTIAN SCHOOL,34.199,-82.213,SC,2022,2020 - 2022,0101000020E61000001283C0CAA18D54C0B6F3FDD478194140,no_change
79aa60e0-01c2-404d-8dce-4860bbb5f000,REIDVILLE ELEMENTARY SCHOOL,34.861,-82.115,SC,2014,2012 - 2014,0101000020E61000008FC2F5285C8754C091ED7C3F356E4140,no_change
79aa60e0-01c2-404d-8dce-4860bbb5f000,REIDVILLE ELEMENTARY SCHOOL,34.861,-82.115,SC,2016,2014 - 2016,0101000020E61000008FC2F5285C8754C091ED7C3F356E4140,no_change
79aa60e0-01c2-404d-8dce-4860bbb5f000,REIDVILLE ELEMENTARY SCHOOL,34.861,-82.115,SC,2018,2016 - 2018,0101000020E61000008FC2F5285C8754C091ED7C3F356E4140,no_change
79aa60e0-01c2-404d-8dce-4860bbb5f000,REIDVILLE ELEMENTARY SCHOOL,34.861,-82.115,SC,2020,2018 - 2020,0101000020E61000008FC2F5285C8754C091ED7C3F356E4140,removed
79b23497-144c-447c-bd52-310e279b6773,LEX. PRESBYTERIAN CHURCH,33.975,-81.263,SC,2014,2012 - 2014,0101000020E610000046B6F3FDD45054C0CDCCCCCCCCFC4040,no_change
79b23497-144c-447c-bd52-310e279b6773,LEX. PRESBYTERIAN CHURCH,33.975,-81.263,SC,2016,2014 - 2016,0101000020E610000046B6F3FDD45054C0CDCCCCCCCCFC4040,no_change
79b23497-144c-447c-bd52-310e279b6773,LEX. PRESBYTERIAN CHURCH,33.975,-81.263,SC,2018,2016 - 2018,0101000020E610000046B6F3FDD45054C0CDCCCCCCCCFC4040,no_change
79b23497-144c-447c-bd52-310e279b6773,LEX. PRESBYTERIAN CHURCH,33.975,-81.263,SC,2020,2018 - 2020,0101000020E610000046B6F3FDD45054C0CDCCCCCCCCFC4040,no_change
79b23497-144c-447c-bd52-310e279b6773,LEX. PRESBYTERIAN CHURCH,33.975,-81.263,SC,2022,2020 - 2022,0101000020E610000046B6F3FDD45054C0CDCCCCCCCCFC4040,no_change
79c22ce0-a1bf-46c9-97ff-389e4140f0a7,HOUSEY'S TOWING,32.606,-81.244,SC,2014,2012 - 2014,0101000020E6100000560E2DB29D4F54C021B07268914D4040,no_change
79c22ce0-a1bf-46c9-97ff-389e4140f0a7,HOUSEY'S TOWING,32.606,-81.244,SC,2016,2014 - 2016,0101000020E6100000560E2DB29D4F54C021B07268914D4040,no_change
79c22ce0-a1bf-46c9-97ff-389e4140f0a7,HOUSEY'S TOWING,32.606,-81.244,SC,2018,2016 - 2018,0101000020E6100000560E2DB29D4F54C021B07268914D4040,no_change
79c22ce0-a1bf-46c9-97ff-389e4140f0a7,HOUSEY'S TOWING,32.606,-81.244,SC,2020,2018 - 2020,0101000020E6100000560E2DB29D4F54C021B07268914D4040,no_change
79c22ce0-a1bf-46c9-97ff-389e4140f0a7,HOUSEY'S TOWING,32.606,-81.244,SC,2022,2020 - 2022,0101000020E6100000560E2DB29D4F54C021B07268914D4040,removed
79c456f3-7ec0-4807-8142-fb4aa058a3f2,PINE HILL VOL FIRE DEPT#1,33.521,-81.054,SC,2014,2012 - 2014,0101000020E6100000FA7E6ABC744354C0A69BC420B0C24040,no_change
