pollId,name,Y,X,stfp
0101000020E6100000E9263108AC2C56C01F85EB51B82E4040,RAYMOND P. DAVIS COUNTY COURTHOUSE ANNEX BUILDING,32.365,-88.698,28
0101000020E6100000E9263108AC2C56C01F85EB51B82E4040,RAYMOND P. DAVIS-ANNEX BUILDING,32.365,-88.698,28
0101000020E6100000E9263108AC3456C05EBA490C02BB4540,GRACE PRESBYTERIAN CHURCH-WARD 10,43.461,-88.823,55
0101000020E6100000E9263108AC3456C05EBA490C02BB4540,GRACE PRESBYTERIAN CHURCH,43.461,-88.823,55
0101000020E6100000EC51B81E858B56C0560E2DB29D3F4040,CHINA GROVE CHURCH,32.497,-90.18,28
0101000020E6100000EC51B81E858B56C0560E2DB29D3F4040,CHINA GROVE A.M.E. CHURCH,32.497,-90.18,28
0101000020E6100000EE7C3F355E1A56C06DE7FBA9F1924540,"STONE BANK FIRE HOUSE 2WARDS 4, 5, 6, 10, 11",43.148,-88.412,55
0101000020E6100000EE7C3F355E1A56C06DE7FBA9F1924540,STONE BANK FIRE HOUSE-WESTERN LAKES STATION 6,43.148,-88.412,55
0101000020E6100000EE7C3F355EFA55C0E17A14AE47614540,"2012 W3,4,5 FRANKSVILLE UNITED METHODIST CHURCH",42.76,-87.912,55
0101000020E6100000EE7C3F355EFA55C0E17A14AE47614540,FAITHBRIDGE UNITED METHODIST CHURCH,42.76,-87.912,55
0101000020E6100000F0A7C64B37D956C048E17A14AE774640,LIBRARY,44.935,-91.394,55
0101000020E6100000F0A7C64B37D956C048E17A14AE774640,CHIPPEWA FALLS PUBLIC LIBRARY,44.935,-91.394,55
0101000020E6100000F2D24D62105856C075931804564E3E40,WAVELAND WEST,30.306,-89.376,28
0101000020E6100000F2D24D62105856C075931804564E3E40,LUTHERAN CHURCH OF THE PINES,30.306,-89.376,28
0101000020E6100000F2D24D62106056C0A4703D0AD7734040,SINGLETON,32.905,-89.501,28
0101000020E6100000F2D24D62106056C0A4703D0AD7734040,BARNES FIRE DEPARTMENT,32.905,-89.501,28
0101000020E6100000F4FDD478E91E56C0C976BE9F1A0F4140,CAROLINA,34.118,-88.483,28
0101000020E6100000F4FDD478E91E56C0C976BE9F1A0F4140,CAROLINA COMMUNITY CENTER,34.118,-88.483,28
0101000020E6100000F4FDD478E94656C0D578E92631384040,EVERGREEN MASONIC LODGE,32.439,-89.108,28
0101000020E6100000F4FDD478E94656C0D578E92631384040,COURTHOUSE,32.439,-89.108,28
0101000020E6100000F4FDD478E9DE56C0F6285C8FC2654640,SALEM BAPTIST CHURCH,44.795,-91.483,55
0101000020E6100000F4FDD478E9DE56C0F6285C8FC2654640,BRIDGE CHURCH (FORMERLY SALEM BAPTIST),44.795,-91.483,55
0101000020E6100000F4FDD478E9FE55C0A245B6F3FD844540,10-2012 HAWLEY SCHOOL,43.039,-87.983,55
0101000020E6100000F4FDD478E9FE55C0A245B6F3FD844540,HAWLEY SCHOOL,43.039,-87.983,55
0101000020E6100000F6285C8FC21556C0894160E5D0224640,KIMBERLY VILLAGE HALL-CEDAR ROOM,44.272,-88.34,55
0101000020E6100000F6285C8FC21556C0894160E5D0224640,KIMBERLY VILLAGE HALL-EVERGREEN ROOM,44.272,-88.34,55
0101000020E6100000F6285C8FC24556C06F1283C0CA613E40,DISABLED AMERICAN VETERANS HALL,30.382,-89.09,28
0101000020E6100000F6285C8FC24556C06F1283C0CA613E40,DAV HALL,30.382,-89.09,28
0101000020E6100000F6285C8FC25556C0560E2DB29D9F4540,DE FOREST VILLAGE HALL,43.247,-89.34,55
0101000020E6100000F6285C8FC25556C0560E2DB29D9F4540,2012 DEFOREST PUBLIC SAFETY,43.247,-89.34,55
0101000020E6100000F6285C8FC26556C09CC420B072884040,ZAMA FIRE STATION,33.066,-89.59,28
0101000020E6100000F6285C8FC26556C09CC420B072884040,COLISEUM,33.066,-89.59,28
0101000020E6100000F6285C8FC2C554C0986E1283C00A3F40,LANIER COUNTY BOARD OF ELECTIONS,31.042,-83.09,13
0101000020E6100000F6285C8FC2C554C0986E1283C00A3F40,LANIER COUNTY EXTENSION,31.042,-83.09,13
0101000020E6100000FA7E6ABC742356C0448B6CE7FB693E40,YOUNG MEN'S BUSINESS CLUB,30.414,-88.554,28
0101000020E6100000FA7E6ABC742356C0448B6CE7FB693E40,"YOUNG MEN'S BUS. CLUB, DANTZLER",30.414,-88.554,28
0101000020E6100000FA7E6ABC743356C04260E5D022BB4040,EAST STARKVILLE,33.462,-88.804,28
0101000020E6100000FA7E6ABC743356C04260E5D022BB4040,ST JOSEPH CATHOLIC CHURCH,33.462,-88.804,28
0101000020E6100000FCA9F1D24D5256C05A643BDF4FCD3E40,MAGNOLIA,30.802,-89.286,28
0101000020E6100000FCA9F1D24D5256C05A643BDF4FCD3E40,WESTSIDE COMMUNITY CENTER,30.802,-89.286,28
0101000020E6100000FCA9F1D24D8256C03D0AD7A3704D4040,ST. PAUL METHODIST CHURCH,32.605,-90.036,28
0101000020E6100000FCA9F1D24D8256C03D0AD7A3704D4040,CANTON ST. PAUL METHODIST CHURCH,32.605,-90.036,28
0101000020E6100000FED478E9265156C02B8716D9CE573F40,WEST PETAL,31.343,-89.268,28
0101000020E6100000FED478E9265156C02B8716D9CE573F40,WEST PETAL PRECINCT,31.343,-89.268,28
0101000020E6100000FED478E9266156C083C0CAA145864540,"105, COVENTRY VILLAGE",43.049,-89.518,55
0101000020E6100000FED478E9266156C083C0CAA145864540,COVENTRY VILLAGE,43.049,-89.518,55
0101000020E6100000FED478E926B156C09A99999999F94040,SHELBY POLICE STATION,33.95,-90.768,28
0101000020E6100000FED478E926B156C09A99999999F94040,SHELBY PRECINCT,33.95,-90.768,28
